City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Saint Anthony,90,US,1551930614,98,43.97,-111.68,37.0,5.82
Punta Arenas,0,CL,1551930191,100,-53.16,-70.91,39.2,14.99
Bluff,0,AU,1551930701,40,-23.58,149.07,94.0,10.78
Busselton,92,AU,1551930614,60,-33.64,115.35,75.0,5.97
Rikitea,76,PF,1551930435,100,-23.12,-134.97,79.69,18.05
Kikwit,8,CD,1551930701,89,-5.04,18.82,72.89,2.73
Vila Velha,75,BR,1551930491,88,-3.71,-38.6,79.0,3.36
Vaini,0,IN,1551927600,88,15.34,74.49,62.6,2.24
Avarua,88,CK,1551927600,74,-21.21,-159.78,82.4,23.04
Torbay,90,CA,1551930519,85,47.66,-52.73,21.99,14.99
Mataura,92,NZ,1551930006,93,-46.19,168.86,55.0,1.01
Yellowknife,20,CA,1551930685,78,62.45,-114.38,10.4,5.82
Hobart,75,AU,1551930675,37,-42.88,147.33,68.0,14.99
Morondava,64,MG,1551930702,100,-20.3,44.28,75.77,7.76
Lagos,20,NG,1551927600,94,6.46,3.39,75.2,2.24
Jamestown,24,AU,1551930435,49,-33.21,138.6,67.18,9.78
New Norfolk,75,AU,1551930675,37,-42.78,147.06,68.0,14.99
Saint-Joseph,90,FR,1551930626,76,43.56,6.97,57.2,2.24
Bowen,40,AU,1551930697,70,-20.01,148.25,88.0,11.41
Sorland,48,NO,1551930703,100,67.67,12.69,35.0,18.05
Albany,20,US,1551930433,43,42.65,-73.75,15.8,6.93
Adrar,0,DZ,1551927600,17,27.87,-0.29,57.2,4.07
Hermiston,1,US,1551930444,79,45.84,-119.29,28.4,3.96
Kodiak,40,US,1551930618,67,39.95,-94.76,32.0,4.7
Ahipara,44,NZ,1551930704,71,-35.17,173.16,74.02,11.01
Vysokogornyy,68,RU,1551930704,59,50.1,139.13,20.65,6.2
Tiksi,68,RU,1551930704,79,71.64,128.87,11.69,3.4
Hilo,90,US,1551930499,93,19.71,-155.08,66.99,3.36
Nishihara,75,JP,1551930664,87,35.74,139.53,53.01,13.87
Barrow,8,AR,1551930705,64,-38.31,-60.23,78.7,17.49
Hermanus,68,ZA,1551930362,93,-34.42,19.24,64.99,2.95
Atuona,88,PF,1551930457,99,-9.8,-139.03,82.84,17.49
Miranda,40,CO,1551927600,65,3.25,-76.23,77.0,11.41
Clyde River,90,CA,1551927600,83,70.47,-68.59,-5.81,10.29
Sokoni,88,CD,1551930705,99,-12.89,28.78,63.76,4.18
Atar,0,MR,1551930705,34,20.52,-13.05,56.15,8.43
Mackay,20,CA,1551927600,71,53.65,-115.58,6.8,12.75
Yaan,0,NG,1551930706,89,7.38,8.57,76.94,10.0
Talcahuano,90,CL,1551927600,100,-36.72,-73.12,59.0,9.17
Qaanaaq,64,GL,1551930706,91,77.48,-69.36,-2.08,3.51
Victoria,75,BN,1551927600,74,5.28,115.24,86.0,4.7
Zanjan,0,IR,1551927600,86,36.67,48.48,26.6,6.93
Bayanday,80,RU,1551930707,68,53.07,105.52,26.14,3.85
Marsh Harbour,12,BS,1551930428,100,26.54,-77.06,68.62,16.49
Ushuaia,75,AR,1551927600,99,-54.81,-68.31,41.0,29.97
Yerbogachen,8,RU,1551930707,66,61.28,108.01,15.74,4.63
Faya,0,SA,1551927600,87,18.39,42.45,51.8,3.18
Ust-Kuyga,32,RU,1551930707,68,70.0,135.55,1.39,5.41
Carnarvon,88,ZA,1551930481,31,-30.97,22.13,71.23,7.2
Port Elizabeth,1,US,1551930702,57,39.31,-74.98,26.6,5.82
Teguise,76,ES,1551929400,67,29.06,-13.56,62.6,14.99
Manavalakurichi,20,IN,1551927600,74,8.13,77.3,84.2,8.05
Namibe,80,AO,1551930708,100,-15.19,12.15,77.75,9.55
Minas,0,UY,1551927600,83,-34.38,-55.24,77.0,10.29
Norman Wells,40,CA,1551927600,60,65.28,-126.83,5.0,3.36
Miyako,75,JP,1551930688,76,33.63,130.94,57.99,14.99
Shelburne,75,CA,1551930662,77,44.08,-80.2,12.2,3.36
Malanje,76,AO,1551930708,97,-9.54,16.35,65.47,2.51
Klaksvik,44,FO,1551928800,100,62.23,-6.59,32.0,4.7
Bay Roberts,90,CA,1551930519,85,47.58,-53.28,21.99,14.99
Kenai,90,US,1551930666,74,60.55,-151.26,35.6,9.17
Mahebourg,20,MU,1551930544,83,-20.41,57.7,80.01,2.24
Meadow Lake,0,CA,1551930709,62,54.13,-108.44,-0.46,5.41
Sawakin,0,SD,1551930709,100,19.1,37.33,58.99,9.55
Namatanai,56,PG,1551930709,100,-3.66,152.44,83.15,1.95
Steamboat Springs,90,US,1551930321,82,40.48,-106.83,33.8,6.93
Sanming,100,CN,1551930710,99,26.24,117.6,49.81,2.62
Tura,0,IN,1551930710,60,25.52,90.21,68.44,2.73
Katete,20,UG,1551930710,87,-0.78,29.75,57.77,2.62
Cape Town,75,ZA,1551930664,82,-33.93,18.42,68.0,3.36
Stabat,75,ID,1551927600,74,3.76,98.46,84.2,4.7
Butaritari,64,KI,1551930427,100,3.07,172.79,79.87,11.79
Nepa Nagar,0,IN,1551930710,39,21.47,76.4,67.94,5.19
Cherskiy,24,RU,1551930711,65,68.75,161.3,-0.51,2.39
Caravelas,76,BR,1551930711,100,-17.73,-39.27,84.14,10.67
Arman,36,RU,1551930711,67,59.7,150.17,14.84,3.74
Tanout,0,NE,1551930711,27,14.97,8.88,68.75,12.01
Chuy,12,UY,1551930711,92,-33.69,-53.46,74.74,11.45
Opotiki,92,NZ,1551930620,73,-38.01,177.29,73.99,5.01
Kaitangata,100,NZ,1551930711,52,-46.28,169.85,71.54,20.29
Castro,40,CL,1551927600,87,-42.48,-73.76,53.6,8.05
San Quintin,0,PH,1551930712,48,17.54,120.52,86.17,3.74
Severo-Kurilsk,56,RU,1551930712,100,50.68,156.12,25.69,16.71
Port Alfred,36,ZA,1551930445,83,-33.59,26.89,70.0,5.01
Batsfjord,56,NO,1551930712,100,70.63,29.72,31.04,21.18
West Wendover,75,US,1551927360,81,40.74,-114.07,42.8,10.33
Pyapon,8,MM,1551930713,79,16.29,95.68,80.77,4.52
Kapaa,20,US,1551930505,64,22.08,-159.32,77.0,24.16
Lokosovo,92,RU,1551930713,89,61.13,74.84,31.22,16.82
Yuli,0,NG,1551930713,42,10.52,9.86,65.29,5.64
Shimoda,75,JP,1551927600,93,34.7,138.93,57.2,13.87
Puerto Ayora,0,EC,1551930423,98,-0.74,-90.35,80.99,9.44
Los Llanos de Aridane,40,ES,1551929410,63,28.66,-17.92,62.6,14.99
Saint-Philippe,75,CA,1551930610,50,45.36,-73.48,8.6,6.53
Chumikan,36,RU,1551930714,60,54.72,135.31,28.7,9.66
Saskylakh,64,RU,1551930481,78,71.97,114.09,-4.38,14.7
Broome,48,GB,1551930425,81,52.47,1.45,46.99,14.99
Kalmunai,24,LK,1551930714,92,7.42,81.82,80.05,4.41
Naze,8,NG,1551930714,95,5.43,7.07,73.03,5.41
Great Falls,90,US,1551930472,100,47.5,-111.29,5.0,4.18
Acapulco,5,MX,1551926640,74,16.86,-99.88,80.6,6.93
Tabasco,75,MX,1551926700,21,21.87,-102.91,71.6,5.82
Husavik,0,CA,1551930605,82,50.56,-96.99,-1.0,2.62
Pingliang,92,CN,1551930715,95,35.54,106.68,33.74,8.77
Coahuayana,0,MX,1551930715,62,18.62,-100.35,68.08,2.06
Port Macquarie,90,AU,1551930245,77,-31.43,152.91,68.0,4.7
Kaeo,0,NZ,1551929884,72,-35.1,173.78,77.0,8.99
Ust-Nera,12,RU,1551930715,65,64.57,143.24,-17.2,2.17
Kang,8,BW,1551930716,53,-23.67,22.79,71.05,8.43
Broken Hill,0,AU,1551927600,19,-31.97,141.45,71.6,14.99
Axim,20,GH,1551930574,96,4.87,-2.24,83.87,12.12
Venice,1,US,1551930686,57,27.1,-82.45,54.0,10.29
Polevskoy,90,RU,1551927600,80,56.44,60.17,35.6,15.66
Bredasdorp,56,ZA,1551930320,77,-34.53,20.04,66.2,4.7
Peniche,75,PT,1551930690,93,39.36,-9.38,52.0,3.36
Batagay-Alyta,0,RU,1551930717,78,67.8,130.41,2.2,4.07
Kichha,0,IN,1551930717,83,28.91,79.52,56.92,4.41
Ribeira Grande,88,PT,1551930717,95,38.52,-28.7,62.0,19.62
Cidreira,24,BR,1551930717,89,-30.17,-50.22,76.09,9.22
Bahia Blanca,8,AR,1551930717,47,-38.72,-62.27,75.14,9.22
Ilulissat,32,GL,1551927000,45,69.22,-51.1,24.8,17.22
Upernavik,0,GL,1551930718,100,72.79,-56.15,3.46,19.51
Makat,88,KZ,1551930718,89,47.65,53.35,29.56,2.95
Tilichiki,64,RU,1551930718,85,60.47,166.1,23.26,9.66
Misratah,0,LY,1551930718,92,32.38,15.09,53.68,11.45
Ambulu,92,ID,1551930718,100,-8.35,113.61,74.83,16.04
Grindavik,20,IS,1551929956,73,63.84,-22.43,27.0,17.22
Oroszlany,0,HU,1551930679,50,47.49,18.31,53.6,21.92
Bathsheba,20,BB,1551927600,78,13.22,-59.52,77.0,17.22
Hobyo,0,SO,1551930719,89,5.35,48.53,76.36,12.12
Saint George,20,GR,1551930210,93,39.45,22.34,52.0,2.73
Hithadhoo,88,MV,1551930719,100,-0.6,73.08,82.84,5.08
Cabo San Lucas,20,MX,1551930630,73,22.89,-109.91,71.01,6.2
Georgetown,20,GY,1551927600,88,6.8,-58.16,77.0,6.93
Vila,75,IT,1551930710,93,45.18,8.4,48.99,6.93
Pangnirtung,44,CA,1551930720,67,66.15,-65.72,-9.87,6.42
Itoman,75,JP,1551927600,52,26.12,127.67,68.0,21.92
Cap Malheureux,20,MU,1551930544,83,-19.98,57.61,80.01,2.24
Mar del Plata,92,AR,1551930720,92,-46.43,-67.52,52.69,11.9
Nizwa,0,OM,1551930721,80,22.93,57.53,49.81,1.61
Ponta do Sol,68,BR,1551930721,95,-20.63,-46.0,64.57,2.17
Waipawa,12,NZ,1551930556,48,-39.94,176.59,78.01,7.0
Flinders,0,AU,1551930662,34,-34.58,150.85,73.99,11.41
Binga,56,ZW,1551930721,66,-17.62,27.34,77.39,8.43
Boz,0,FR,1551930462,81,46.41,4.91,48.99,5.82
Senador Jose Porfirio,80,BR,1551930722,94,-2.59,-51.95,77.44,3.62
Rolla,75,US,1551930376,48,37.95,-91.77,33.8,6.93
Shenjiamen,12,CN,1551930722,95,29.96,122.3,49.04,22.86
Guerrero Negro,0,MX,1551930467,82,27.97,-114.04,60.02,5.75
Semey,0,KZ,1551927600,84,50.41,80.25,3.2,4.47
Liberty,1,US,1551930721,67,39.64,-84.93,27.0,13.87
Ostrovnoy,32,RU,1551930722,80,68.05,39.51,7.24,17.05
Clonakilty,40,IE,1551930473,93,51.62,-8.87,44.01,17.22
San Miguelito,40,HN,1551927600,56,13.74,-87.49,71.6,4.7
Baoro,44,CF,1551930723,91,5.69,15.95,68.35,2.95
Shache,24,CN,1551930723,47,38.42,77.24,31.72,5.08
Batemans Bay,0,AU,1551930628,52,-35.71,150.18,72.0,3.0
Portoferraio,76,IT,1551930694,76,42.81,10.31,60.01,25.77
Nikolskoye,0,RU,1551930367,67,59.7,30.79,21.2,4.47
Lingao,68,CN,1551930724,81,19.91,109.69,78.47,4.74
Souillac,44,FR,1551930670,87,45.6,-0.6,48.2,13.87
Florianopolis,75,BR,1551930486,94,-27.6,-48.55,75.2,4.7
Yumen,32,CN,1551930724,53,40.29,97.04,40.0,7.2
Healdsburg,90,US,1551930724,100,38.61,-122.87,53.6,4.63
Escanaba,90,US,1551930598,78,45.75,-87.06,12.2,4.7
